"Name","Gross Import","Share","Code","Sector"
"Live animals","4491879","0.028948495821468773","01","Agriculture"
"Meat","141616873","0.9126682745216365","02","Agriculture"
"Fish","49018097","0.3159034729521546","03","Agriculture"
"Diary products","18860328","0.12154782582067115","04","Agriculture"
"Animal products","5806067","0.03741795054779253","05","Agriculture"
"Plants","4188624","0.026994129708681786","06","Agriculture"
"Vegetables","13937447","0.08982168180430562","07","Agriculture"
"Fruits and nuts","46073445","0.2969262818662683","08","Agriculture"
"Coffee, tea and spices","82259767","0.5301337193799065","09","Agriculture"
"Cereals","120195922","0.7746181822294382","10","Agriculture"
"Flours, starches and malts","16306094","0.10508673408688815","11","Agriculture"
"Oil seeds and oleaginous fruits","37674461","0.24279794198253968","12","Agriculture"
"Lac and other vegetable extracts","11620645","0.07489075133708455","13","Agriculture"
"Other vegetable materials","536787","0.0034593933243791206","14","Agriculture"
"Animal or vegetable fats, oils or waxes","89384022","0.5760469031719405","15","Agriculture"
"Preparations of meat or fish","45984690","0.2963542887768208","16","Agriculture"
"Sugar and candy","57500247","0.37056778689117015","17","Agriculture"
"Cocoa","42143769","0.27160097607202804","18","Agriculture"
"Preparations of cereals, flour, starch or milk","67366913","0.43415479345853936","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","78541568","0.5061713044940894","20","Agriculture"
"Miscellaneous edible preparations","69895061","0.4504477705877218","21","Agriculture"
"Beverages","130972346","0.8440682420227621","22","Agriculture"
"Food residues and animal feed","116597035","0.7514246889760717","23","Agriculture"
"Tobacco","42562947","0.2743024229679599","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","24853649","0.1601725590170064","25","Minerals"
"Ores, slag and ash","90417327","0.5827061710361913","26","Minerals"
"Mineral fuels, oils and waxes","2237165674","14.417703853047328","27","Minerals"
"Inorganic chemicals","97610747","0.6290650976261706","28","Chemicals"
"Organic chemicals","217209539","1.3998349982545522","29","Chemicals"
"Pharmaceutical products","739136292","4.763459536745741","30","Chemicals"
"Fertilisers","255189593","1.6446023738936018","31","Chemicals"
"Dyes, paints, inks, etc.","74898182","0.4826910316735174","32","Chemicals"
"Essential oils","313922672","2.0231153062351663","33","Chemicals"
"Soaps, waxes, and paints","69263649","0.44637855419885086","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","21144784","0.13627029830275034","35","Chemicals"
"Explosives","1979188","0.012755133330150065","36","Chemicals"
"Photographic or cinematographic goods","6417429","0.04135795211560074","37","Chemicals"
"Miscellaneous chemical products","267808377","1.7259257612546632","38","Chemicals"
"Plastics","448166584","2.888267578945456","39","Chemicals"
"Rubber","106766316","0.6880693475045999","40","Chemicals"
"Leather and skins","53216072","0.34295786639109854","41","Agriculture"
"Articles of leather","48616967","0.31331833872906756","42","Agriculture"
"Furskins","675145","0.0043510593698952126","43","Agriculture"
"Wood","40810487","0.2630084675904239","44","Agriculture"
"Cork","949424","0.006118685898886006","45","Agriculture"
"Manufactues of plaiting materials","908819","0.005857001718873422","46","Agriculture"
"Pulp of wood","6315183","0.04069901452984612","47","Agriculture"
"Paper and paperboard","182802971","1.1780974158354618","48","Agriculture"
"Products of the printing industry","22824596","0.14709606423786412","49","Agriculture"
"Silk","191933","0.0012369370698769862","50","Textiles"
"Wool","61140637","0.39402875160182166","51","Textiles"
"Cotton","14509396","0.09350768119044074","52","Textiles"
"Other vegetable textile fibres","985962","0.0063541597708057125","53","Textiles"
"Man-made filaments","25567630","0.16477390201736505","54","Textiles"
"Man-made staple fibres","10297348","0.0663625924808326","55","Textiles"
"Wadding, felt and nonwovens","21063911","0.13574910178285973","56","Textiles"
"Carpets","6676585","0.043028116512973995","57","Textiles"
"Special woven fabrics","4972229","0.03204417359191685","58","Textiles"
"Impregnated, coated or laminated textile fabrics","14780429","0.09525438845214128","59","Textiles"
"Knitted fabrics","16206528","0.10444506810813842","60","Textiles"
"Apparel, knit","196279031","1.2649456293781378","61","Textiles"
"Apparel, not knit","152373599","0.9819913880034744","62","Textiles"
"Other made up textile articles","45863732","0.2955747592842469","63","Textiles"
"Footwear","108915749","0.7019216467804769","64","Textiles"
"Headgear","8117233","0.052312559083267485","65","Textiles"
"Umbrellas and walking-sticks","3185563","0.02052977321840716","66","Textiles"
"Feathers and down","2701317","0.017408987171507195","67","Textiles"
"Articles of stone, plaster, cement, etc.","31321680","0.20185662227352563","68","Stone"
"Ceramic products","50895177","0.32800055805541817","69","Stone"
"Glass and glassware","44137083","0.28444714623820466","70","Stone"
"Precious metals and stones","18010669","0.1160720883818013","71","Stone"
"Iron and steel","154339471","0.9946607046474762","72","Metals"
"Articles of iron or steel","189511564","1.2213318120488135","73","Metals"
"Copper","40187036","0.25899055689683875","74","Metals"
"Nickel","2713798","0.01748942259204006","75","Metals"
"Aluminium","58268059","0.37551605074103644","76","Metals"
"Lead","251463","0.0016205858627879343","78","Metals"
"Zinc","1180066","0.007605088131282559","79","Metals"
"Tin","173780","0.0011199477109367468","80","Metals"
"Other base metals","1440526","0.009283656325496997","81","Metals"
"Metal tools and tableware","38134795","0.24576462404932733","82","Metals"
"Miscellaneous articles of base metal","25877217","0.16676907552401585","83","Metals"
"Industrial Machinery","1062282505","6.846017147214313","84","Machinery"
"Electrical machinery and equipment","847028830","5.458786967751933","85","Electronics"
"Trains","6142203","0.03958422252249292","86","Vehicles"
"Vehicles","777471405","5.010515136083131","87","Vehicles"
"Aircraft","15292888","0.09855699683054461","88","Vehicles"
"Ships","33064360","0.21308754917475276","89","Vehicles"
"Apparatuses (optical, medical, etc.)","206162065","1.3286381216408265","90","Machinery"
"Clocks","47779039","0.30791820323862096","91","Machinery"
"Musical instruments","4547171","0.029304832274645864","92","Machinery"
"Arms and ammunition","4562965","0.02940661875264411","93","Machinery"
"Furniture","177710830","1.1452804538334063","94","Textiles"
"Toys","241092713","1.5537532054775007","95","Machinery"
"Miscellaneous manufactured articles","32384069","0.20870332574155637","96","Machinery"
"Art","7855357","0.05062486529371016","97","Textiles"
"Other","348423744","2.2454619319185816","99","Other"
"Unspecified","1227741952","7.912341977002034","unspecified","Services"
"Travel and tourism","1046943232","6.747161216245365","travel","Services"
"Transport","1027986368","6.624991251673267","transport","Services"
"ICT","302328640","1.9483960658224182","ict","Services"
"Insurance and finance","127119624","0.8192388762454825","financial","Services"
