"Name","Gross Export","Share","Code","Sector"
"Live animals","2270101","0.015469305881629463","01","Agriculture"
"Meat","38691","0.00026365475098514364","02","Agriculture"
"Fish","534175","0.0036400655606598203","03","Agriculture"
"Diary products","8080981","0.055066786417272154","04","Agriculture"
"Animal products","6245388","0.042558378381163685","05","Agriculture"
"Plants","5280580","0.03598382065485849","06","Agriculture"
"Vegetables","225766432","1.5384557754972568","07","Agriculture"
"Fruits and nuts","514364207","3.505067506972057","08","Agriculture"
"Coffee, tea and spices","11219232","0.07645198674638948","09","Agriculture"
"Cereals","12907465","0.08795622936663454","10","Agriculture"
"Flours, starches and malts","43205239","0.29441644128605143","11","Agriculture"
"Oil seeds and oleaginous fruits","32411254","0.22086224451387249","12","Agriculture"
"Lac and other vegetable extracts","4972188","0.033882323770161524","13","Agriculture"
"Other vegetable materials","1887815","0.01286426801403476","14","Agriculture"
"Animal or vegetable fats, oils or waxes","2088021","0.01422854557408055","15","Agriculture"
"Preparations of meat or fish","10855","0.00007396997549672364","16","Agriculture"
"Sugar and candy","4577657","0.031193843954159875","17","Agriculture"
"Cocoa","5609116","0.03822258618869465","18","Agriculture"
"Preparations of cereals, flour, starch or milk","4623892","0.03150890630488221","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","26590571","0.18119796271892125","20","Agriculture"
"Miscellaneous edible preparations","1038946","0.007079761415238972","21","Agriculture"
"Beverages","12475649","0.08501367580246198","22","Agriculture"
"Food residues and animal feed","4541780","0.03094936483754118","23","Agriculture"
"Tobacco","7544990","0.05141434596250805","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","20583546","0.14026387777574242","25","Minerals"
"Ores, slag and ash","26841783","0.18290981398418912","26","Minerals"
"Mineral fuels, oils and waxes","2237717217","15.248630834646393","27","Minerals"
"Inorganic chemicals","113894575","0.77611966116626","28","Chemicals"
"Organic chemicals","27368296","0.18649766784956973","29","Chemicals"
"Pharmaceutical products","10458773","0.07126993851089772","30","Chemicals"
"Fertilisers","159077864","1.0840152650530754","31","Chemicals"
"Dyes, paints, inks, etc.","2749113","0.018733470405133523","32","Chemicals"
"Essential oils","1431122","0.009752193392245244","33","Chemicals"
"Soaps, waxes, and paints","11689008","0.07965321375780807","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","306136","0.0020861236682326104","35","Chemicals"
"Explosives","679852","0.0046327623934959514","36","Chemicals"
"Miscellaneous chemical products","9076155","0.06184826927263618","38","Chemicals"
"Plastics","434439662","2.960432165172261","39","Chemicals"
"Rubber","1286551","0.008767033251523289","40","Chemicals"
"Leather and skins","85026001","0.5793985454218701","41","Agriculture"
"Articles of leather","884103","0.006024604076147384","42","Agriculture"
"Furskins","581263","0.003960940568139297","43","Agriculture"
"Wood","2957055","0.020150463923764544","44","Agriculture"
"Manufactues of plaiting materials","106378","0.0007248989454988915","46","Agriculture"
"Pulp of wood","17041754","0.11612880016593202","47","Agriculture"
"Paper and paperboard","11318127","0.07712589376866016","48","Agriculture"
"Products of the printing industry","5323419","0.03627574140845629","49","Agriculture"
"Silk","22187830","0.15119606093279314","50","Textiles"
"Wool","2450920","0.016701473269869177","51","Textiles"
"Cotton","928861048","6.329601930946203","52","Textiles"
"Other vegetable textile fibres","274398","0.0018698492249055708","53","Textiles"
"Man-made filaments","906866","0.006179719557697999","54","Textiles"
"Man-made staple fibres","6862506","0.046763648149803674","55","Textiles"
"Wadding, felt and nonwovens","22611211","0.15408113529444936","56","Textiles"
"Carpets","26993504","0.18394369686326223","57","Textiles"
"Special woven fabrics","3049049","0.02077734498556515","58","Textiles"
"Impregnated, coated or laminated textile fabrics","2019896","0.013764316685944734","59","Textiles"
"Knitted fabrics","49476272","0.3371495741602242","60","Textiles"
"Apparel, knit","195747401","1.3338950212360512","61","Textiles"
"Apparel, not knit","15777604","0.10751441559438128","62","Textiles"
"Other made up textile articles","27242479","0.18564030438507675","63","Textiles"
"Footwear","11075082","0.07546969545501658","64","Textiles"
"Headgear","1376525","0.009380149287943574","65","Textiles"
"Feathers and down","487470","0.003321800456507404","67","Textiles"
"Articles of stone, plaster, cement, etc.","4943979","0.03369009723503604","68","Stone"
"Ceramic products","13731095","0.09356874810623532","69","Stone"
