"Name","Gross Import","Share","Code","Sector"
"Live animals","71420887","0.31682781277310074","01","Agriculture"
"Meat","15069680","0.06685010441820109","02","Agriculture"
"Fish","4627350","0.020527232872865436","03","Agriculture"
"Diary products","17991100","0.07980971816244921","04","Agriculture"
"Animal products","3037563","0.013474831829664875","05","Agriculture"
"Plants","29536755","0.13102701291101224","06","Agriculture"
"Vegetables","35642204","0.15811119141845242","07","Agriculture"
"Fruits and nuts","14646604","0.06497331109698691","08","Agriculture"
"Coffee, tea and spices","61592234","0.27322725328276876","09","Agriculture"
"Cereals","294612044","1.3069186541625073","10","Agriculture"
"Flours, starches and malts","126033913","0.5590948344148297","11","Agriculture"
"Oil seeds and oleaginous fruits","81181928","0.3601284409271386","12","Agriculture"
"Lac and other vegetable extracts","4527206","0.020082987417297943","13","Agriculture"
"Other vegetable materials","83091","0.00036859721150102364","14","Agriculture"
"Animal or vegetable fats, oils or waxes","224503282","0.9959115153028362","15","Agriculture"
"Preparations of meat or fish","2485951","0.011027844249415475","16","Agriculture"
"Sugar and candy","239854152","1.0640089972938427","17","Agriculture"
"Cocoa","41304150","0.18322796107183698","18","Agriculture"
"Preparations of cereals, flour, starch or milk","40104481","0.17790614946619712","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","13931175","0.06179962039129115","20","Agriculture"
"Miscellaneous edible preparations","61652680","0.2734953957656658","21","Agriculture"
"Beverages","17797566","0.07895118844526396","22","Agriculture"
"Food residues and animal feed","70569477","0.3130509012923858","23","Agriculture"
"Tobacco","26979985","0.11968501085965323","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","232291674","1.0304613410755057","25","Minerals"
"Ores, slag and ash","121363844","0.5383780972120356","26","Minerals"
"Mineral fuels, oils and waxes","973161766","4.317010425762257","27","Minerals"
"Inorganic chemicals","66976190","0.2971108407765311","28","Chemicals"
"Organic chemicals","120061546","0.5326010165252781","29","Chemicals"
"Pharmaceutical products","599267291","2.658389625908612","30","Chemicals"
"Fertilisers","18566969","0.0823643114106937","31","Chemicals"
"Dyes, paints, inks, etc.","150237951","0.6664655594496086","32","Chemicals"
"Essential oils","110152388","0.4886433314917238","33","Chemicals"
"Soaps, waxes, and paints","44075476","0.19552174783286144","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","34070229","0.15113780559388273","35","Chemicals"
"Explosives","14942754","0.06628705222642364","36","Chemicals"
"Photographic or cinematographic goods","6159970","0.02732603729561518","37","Chemicals"
"Miscellaneous chemical products","168796386","0.7487920134677695","38","Chemicals"
"Plastics","644879389","2.8607279313028355","39","Chemicals"
"Rubber","227941676","1.011164460151759","40","Chemicals"
"Leather and skins","548054","0.0024312040552163534","41","Agriculture"
"Articles of leather","6099821","0.027059212324504287","42","Agriculture"
"Furskins","933440","0.0041408020255324345","43","Agriculture"
"Wood","545633287","2.420465611081077","44","Agriculture"
"Cork","233755","0.0010369527526979069","45","Agriculture"
"Manufactues of plaiting materials","59518","0.0002640258130738338","46","Agriculture"
"Pulp of wood","17750594","0.07874281752400142","47","Agriculture"
"Paper and paperboard","252397937","1.1196540632175693","48","Agriculture"
"Products of the printing industry","17618009","0.07815466163122287","49","Agriculture"
"Silk","75522","0.0003350206232561927","50","Textiles"
"Wool","2029976","0.009005108772478392","51","Textiles"
"Cotton","17571176","0.07794690732322046","52","Textiles"
"Other vegetable textile fibres","17016093","0.07548452215573392","53","Textiles"
"Man-made filaments","179605848","0.7967435070233444","54","Textiles"
"Man-made staple fibres","82623975","0.3665254574879384","55","Textiles"
"Wadding, felt and nonwovens","28103125","0.12466733472295081","56","Textiles"
"Carpets","4968339","0.02203988279346481","57","Textiles"
"Special woven fabrics","35707439","0.15840057822439135","58","Textiles"
"Impregnated, coated or laminated textile fabrics","41324392","0.1833177559323538","59","Textiles"
"Knitted fabrics","100244500","0.44469128026277654","60","Textiles"
"Apparel, knit","26115175","0.11584865608623371","61","Textiles"
"Apparel, not knit","28773566","0.12764145566355758","62","Textiles"
"Other made up textile articles","16683132","0.07400748497795785","63","Textiles"
"Footwear","34909339","0.15486015345517484","64","Textiles"
"Headgear","3284891","0.014571995314592546","65","Textiles"
"Umbrellas and walking-sticks","588797","0.002611942717504522","66","Textiles"
"Feathers and down","1173352","0.005205067640408096","67","Textiles"
"Articles of stone, plaster, cement, etc.","90478595","0.4013690750807002","68","Stone"
"Ceramic products","67634215","0.30002988351398713","69","Stone"
"Glass and glassware","83156150","0.3688862212412999","70","Stone"
"Precious metals and stones","69809169","0.30967812435286257","71","Stone"
"Iron and steel","1273561396","5.649603196988253","72","Metals"
"Articles of iron or steel","692321939","3.0711862437132997","73","Metals"
"Copper","12366083","0.05485676801326514","74","Metals"
"Nickel","3384770","0.015015065212505804","75","Metals"
"Aluminium","166829529","0.7400669047842626","76","Metals"
"Lead","2005564","0.008896815514157238","78","Metals"
"Zinc","1762360","0.007817946367969383","79","Metals"
"Tin","1399334","0.006207538847270744","80","Metals"
"Other base metals","7711777","0.03420995652859792","81","Metals"
"Metal tools and tableware","42478609","0.18843793943799314","82","Metals"
"Miscellaneous articles of base metal","72987884","0.32377911585803737","83","Metals"
"Industrial Machinery","4073691408","18.071166474160606","84","Machinery"
"Electrical machinery and equipment","1056379193","4.686168475857815","85","Electronics"
"Trains","64163932","0.28463547693662733","86","Vehicles"
"Vehicles","2011186877","8.921758971123856","87","Vehicles"
"Aircraft","151450514","0.6718445696982435","88","Vehicles"
"Ships","11798162","0.052337432622514356","89","Vehicles"
"Apparatuses (optical, medical, etc.)","276456430","1.2263791409361777","90","Machinery"
"Clocks","5366228","0.02380494490472753","91","Machinery"
"Musical instruments","1635583","0.00725555515011829","92","Machinery"
"Arms and ammunition","2559821","0.011355536490615853","93","Machinery"
"Furniture","271808510","1.2057606581729443","94","Textiles"
"Toys","35159441","0.1559696225889057","95","Machinery"
"Miscellaneous manufactured articles","24972504","0.11077969140578595","96","Machinery"
"Art","1524451","0.006762566194533066","97","Textiles"
"Other","281146624","1.2471851539796943","99","Other"
"Travel and tourism","2293780224","10.175361884711863","travel","Services"
"Transport","2468860672","10.952030415854225","transport","Services"
"ICT","237111760","1.051843563684394","ict","Services"
"Insurance and finance","191349120","0.8488374439491011","financial","Services"
