"Name","Gross Export","Share","Code","Sector"
"Live animals","328321","0.0011491071922786601","01","Agriculture"
"Meat","3200","0.000011199841055831678","02","Agriculture"
"Fish","128537706","0.44987558652538184","03","Agriculture"
"Diary products","135661","0.00047480676171099417","04","Agriculture"
"Animal products","2316026","0.008105975962866756","05","Agriculture"
"Plants","36188","0.0001266562025401365","06","Agriculture"
"Vegetables","946095","0.003311285507411585","07","Agriculture"
"Fruits and nuts","3727505","0.013046082354630582","08","Agriculture"
"Coffee, tea and spices","4789704","0.01676372609515038","09","Agriculture"
"Cereals","99823","0.0003493755417863393","10","Agriculture"
"Flours, starches and malts","519898","0.0018196171766389933","11","Agriculture"
"Oil seeds and oleaginous fruits","6405092","0.02241750385874345","12","Agriculture"
"Other vegetable materials","2057","0.000007199397828701802","14","Agriculture"
"Animal or vegetable fats, oils or waxes","2278563","0.007974857323655937","15","Agriculture"
"Preparations of meat or fish","45850365","0.16047400010995871","16","Agriculture"
"Sugar and candy","36747","0.0001286126747745771","17","Agriculture"
"Cocoa","26482009","0.09268571613722001","18","Agriculture"
"Preparations of cereals, flour, starch or milk","318691","0.0011154026706012667","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","2504725","0.008766413090177502","20","Agriculture"
"Miscellaneous edible preparations","177582","0.0006215281794927192","21","Agriculture"
"Beverages","56006683","0.1960206086451094","22","Agriculture"
"Tobacco","33324","0.00011663234479516715","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","10392722","0.0363740107929516","25","Minerals"
"Ores, slag and ash","168716801","0.5905004233276198","26","Minerals"
"Mineral fuels, oils and waxes","24559390087","85.95664543830254","27","Minerals"
"Inorganic chemicals","68726790","0.24054035133672566","28","Chemicals"
"Organic chemicals","471176919","1.6490958131176494","29","Chemicals"
"Pharmaceutical products","3193148","0.011175859396170879","30","Chemicals"
"Fertilisers","74715319","0.26149990538617524","31","Chemicals"
"Dyes, paints, inks, etc.","410528","0.001436827609052646","32","Chemicals"
"Essential oils","613397","0.0021468590325387452","33","Chemicals"
"Soaps, waxes, and paints","1710968","0.005988303016129443","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","228039","0.0007981251732908751","35","Chemicals"
"Explosives","94188","0.0003296533216770857","36","Chemicals"
"Miscellaneous chemical products","5224346","0.01828495150645938","38","Chemicals"
"Plastics","19947992","0.06981698118218808","39","Chemicals"
"Rubber","3520869","0.012322866618251571","40","Chemicals"
"Leather and skins","27661778","0.09681484903803173","41","Agriculture"
"Articles of leather","324242","0.0011348308948828049","42","Agriculture"
"Wood","56156416","0.19654466670786347","44","Agriculture"
"Pulp of wood","64919","0.00022721327546985527","47","Agriculture"
"Paper and paperboard","15272629","0.05345344290771422","48","Agriculture"
"Products of the printing industry","858203","0.0030036678730118484","49","Agriculture"
"Cotton","6874776","0.024061374529514463","52","Textiles"
"Other vegetable textile fibres","24040","0.00008413880593193549","53","Textiles"
"Man-made filaments","66293","0.00023202220722320298","54","Textiles"
"Man-made staple fibres","143367","0.0005017773789535688","55","Textiles"
"Wadding, felt and nonwovens","1878198","0.006573599709806545","56","Textiles"
"Carpets","26935","0.00009427116213713322","57","Textiles"
"Special woven fabrics","237794","0.0008322671887595121","58","Textiles"
"Impregnated, coated or laminated textile fabrics","26367","0.00009228319034972308","59","Textiles"
"Knitted fabrics","74342","0.0002601933074289496","60","Textiles"
"Apparel, knit","570172","0.0019955736795267687","61","Textiles"
"Apparel, not knit","901986","0.0031569061983079357","62","Textiles"
"Other made up textile articles","763657","0.0026727615691166415","63","Textiles"
"Footwear","357431","0.001250990746383429","64","Textiles"
"Headgear","63226","0.00022128785956125428","65","Textiles"
"Articles of stone, plaster, cement, etc.","9439521","0.03303785463849541","68","Stone"
"Ceramic products","2555109","0.00894275458760157","69","Stone"
"Glass and glassware","4268188","0.014938445998877533","70","Stone"
"Precious metals and stones","2173852460","7.608375634633966","71","Stone"
"Iron and steel","195583403","0.6845321958620852","72","Metals"
"Articles of iron or steel","4502464","0.015758400362376287","73","Metals"
"Copper","59895208","0.20963025300186813","74","Metals"
"Nickel","2375","0.000008312382033625074","75","Metals"
"Aluminium","184131906","0.6444525251585436","76","Metals"
"Lead","15529277","0.05435169815999457","78","Metals"
"Zinc","408945","0.0014312871876803394","79","Metals"
"Other base metals","168002","0.000587998655331823","81","Metals"
"Metal tools and tableware","275865","0.0009655137977709394","82","Metals"
"Miscellaneous articles of base metal","758498","0.002654705325364443","83","Metals"
"Industrial Machinery","17637481","0.061730307445391","84","Machinery"
"Electrical machinery and equipment","42190418","0.14766436739971872","85","Electronics"
"Trains","102974","0.00036040388527600357","86","Vehicles"
"Vehicles","5549389","0.01942258586155647","87","Vehicles"
"Aircraft","1714007","0.005998939365182153","88","Vehicles"
"Ships","2358828","0.008255780836889166","89","Vehicles"
"Apparatuses (optical, medical, etc.)","1272273","0.004452892306133168","90","Machinery"
"Clocks","310744","0.0010875885653291748","91","Machinery"
"Musical instruments","89606","0.0003136165492652667","92","Machinery"
"Furniture","3348447","0.011719398182461382","94","Textiles"
"Toys","278910","0.0009761711465256293","95","Machinery"
"Miscellaneous manufactured articles","523696","0.0018329099879921334","96","Machinery"
"Art","11242092","0.03934676360469903","97","Textiles"
"Other","51899112","0.18164431416837704","99","Other"
