"Name","Gross Import","Share","Code","Sector"
"Live animals","3967837","0.03396303538305707","01","Agriculture"
"Meat","52354990","0.4481369516564312","02","Agriculture"
"Fish","2442494","0.020906733352429697","03","Agriculture"
"Diary products","162609327","1.3918682462298972","04","Agriculture"
"Animal products","66090","0.0005657029279343486","05","Agriculture"
"Plants","80859","0.0006921194288068315","06","Agriculture"
"Vegetables","157661843","1.3495198397431618","07","Agriculture"
"Fruits and nuts","9877872","0.08455047831987773","08","Agriculture"
"Coffee, tea and spices","8814040","0.07544451860993291","09","Agriculture"
"Cereals","823410770","7.04805391862122","10","Agriculture"
"Flours, starches and malts","128963092","1.103870460582036","11","Agriculture"
"Oil seeds and oleaginous fruits","91900060","0.786626312896691","12","Agriculture"
"Lac and other vegetable extracts","4314517","0.0369304720762978","13","Agriculture"
"Other vegetable materials","469532","0.004018998746540634","14","Agriculture"
"Animal or vegetable fats, oils or waxes","274415121","2.3488793678190127","15","Agriculture"
"Preparations of meat or fish","55074915","0.47141837904728967","16","Agriculture"
"Sugar and candy","171468946","1.4677029021337071","17","Agriculture"
"Cocoa","7963613","0.06816521699252596","18","Agriculture"
"Preparations of cereals, flour, starch or milk","97912073","0.8380866451236446","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","16963554","0.14520097088776562","20","Agriculture"
"Miscellaneous edible preparations","89736102","0.7681037319233674","21","Agriculture"
"Beverages","18773231","0.16069105376740625","22","Agriculture"
"Food residues and animal feed","211589383","1.811117165727376","23","Agriculture"
"Tobacco","4885773","0.041820185978553276","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","10220165","0.08748036411669165","25","Minerals"
"Ores, slag and ash","448981","0.003843090729110179","26","Minerals"
"Mineral fuels, oils and waxes","4954569448","42.40905497636056","27","Minerals"
"Inorganic chemicals","118186096","1.0116238545669543","28","Chemicals"
"Organic chemicals","270933306","2.319076478727989","29","Chemicals"
"Pharmaceutical products","118481639","1.0141535797966486","30","Chemicals"
"Fertilisers","72708140","0.6223514553284993","31","Chemicals"
"Dyes, paints, inks, etc.","23561646","0.20167789573540068","32","Chemicals"
"Essential oils","41695221","0.35689376003283","33","Chemicals"
"Soaps, waxes, and paints","55808250","0.4776954218170995","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","18337175","0.15695859566567616","35","Chemicals"
"Explosives","3624330","0.031022758250874527","36","Chemicals"
"Photographic or cinematographic goods","1867382","0.015984013693023144","37","Chemicals"
"Miscellaneous chemical products","103962872","0.8898789693881661","38","Chemicals"
"Plastics","176525974","1.5109889597255666","39","Chemicals"
"Rubber","150748664","1.2903459011498157","40","Chemicals"
"Leather and skins","2684632","0.022979333981332214","41","Agriculture"
"Articles of leather","12385757","0.1060169314507997","42","Agriculture"
"Furskins","208356","0.0017834407512889866","43","Agriculture"
"Wood","7075514","0.06056345871448743","44","Agriculture"
"Cork","279150","0.0023894079638806685","45","Agriculture"
"Manufactues of plaiting materials","54758","0.00046870571838143526","46","Agriculture"
"Pulp of wood","13822549","0.11831527373000457","47","Agriculture"
"Paper and paperboard","121600163","1.0408468489392348","48","Agriculture"
"Products of the printing industry","167461837","1.4334037147551009","49","Agriculture"
"Silk","12700","0.0001087067209073419","50","Textiles"
"Wool","53576","0.00045858828971116143","51","Textiles"
"Cotton","13290793","0.1137636634085239","52","Textiles"
"Other vegetable textile fibres","177795","0.0015218512947811696","53","Textiles"
"Man-made filaments","6627266","0.05672664216068631","54","Textiles"
"Man-made staple fibres","7575115","0.06483983560204876","55","Textiles"
"Wadding, felt and nonwovens","4908483","0.04201457413853798","56","Textiles"
"Carpets","1609241","0.013774434036193054","57","Textiles"
"Special woven fabrics","992480","0.008495216249300684","58","Textiles"
"Impregnated, coated or laminated textile fabrics","8541403","0.07311085921875063","59","Textiles"
"Knitted fabrics","19074140","0.16326670972658003","60","Textiles"
"Apparel, knit","32672020","0.2796589102062278","61","Textiles"
"Apparel, not knit","25824604","0.22104787555674216","62","Textiles"
"Other made up textile articles","14776136","0.12647758206621476","63","Textiles"
"Footwear","48432859","0.41456514063446004","64","Textiles"
"Headgear","651236","0.005574309456442024","65","Textiles"
"Umbrellas and walking-sticks","449126","0.003844331868837074","66","Textiles"
"Feathers and down","492517","0.004215740792214277","67","Textiles"
"Articles of stone, plaster, cement, etc.","12577220","0.1076557751441133","68","Stone"
"Ceramic products","19619878","0.16793800015607066","69","Stone"
"Glass and glassware","11526016","0.09865790586500452","70","Stone"
"Precious metals and stones","3586550","0.030699377155135994","71","Stone"
"Iron and steel","22146469","0.1895645688713464","72","Metals"
"Articles of iron or steel","124253735","1.063560322231482","73","Metals"
"Copper","10492018","0.08980731279376437","74","Metals"
"Nickel","2541145","0.021751144905518688","75","Metals"
"Aluminium","18244336","0.15616393241667484","76","Metals"
"Lead","28279","0.00024205648508178912","78","Metals"
"Zinc","2038212","0.017446247482991745","79","Metals"
"Tin","741383","0.006345930304444714","80","Metals"
"Other base metals","13424346","0.11490682157366863","81","Metals"
"Metal tools and tableware","17776363","0.15215827806209442","82","Metals"
"Miscellaneous articles of base metal","16921524","0.1448412115586526","83","Metals"
"Industrial Machinery","886624991","7.58914137370957","84","Machinery"
"Electrical machinery and equipment","446295534","3.8201042564355214","85","Electronics"
"Trains","12306488","0.10533842176106711","86","Vehicles"
"Vehicles","206077770","1.7639400494958581","87","Vehicles"
"Aircraft","179712542","1.5382646572238552","88","Vehicles"
"Ships","2993435","0.02562255929915504","89","Vehicles"
"Apparatuses (optical, medical, etc.)","155302712","1.329326659018685","90","Machinery"
"Clocks","24373550","0.2086274564859168","91","Machinery"
"Musical instruments","385130","0.003296552710475952","92","Machinery"
"Arms and ammunition","2118795","0.018136004466525316","93","Machinery"
"Furniture","45657143","0.3908061654746141","94","Textiles"
"Toys","29055653","0.24870431192532058","95","Machinery"
"Miscellaneous manufactured articles","9122157","0.07808187205290987","96","Machinery"
"Art","294049","0.002516937210715195","97","Textiles"
"Other","377443360","3.2307582672322344","99","Other"
