"Name","Gross Export","Share","Code","Sector"
"Live animals","17870881","0.006380906286572659","01","Agriculture"
"Meat","92880413","0.03316351394266265","02","Agriculture"
"Fish","4910488291","1.7533195820722738","03","Agriculture"
"Diary products","166037058","0.0592845370743742","04","Agriculture"
"Animal products","50342901","0.017975237677157887","05","Agriculture"
"Plants","60608447","0.02164061304429848","06","Agriculture"
"Vegetables","632086954","0.22569047482545285","07","Agriculture"
"Fruits and nuts","3890412572","1.3890953690551746","08","Agriculture"
"Coffee, tea and spices","3904713420","1.394201573439084","09","Agriculture"
"Cereals","2424750253","0.8657717620489077","10","Agriculture"
"Flours, starches and malts","367338290","0.131160361034235","11","Agriculture"
"Oil seeds and oleaginous fruits","82169302","0.029339046893943697","12","Agriculture"
"Lac and other vegetable extracts","41890846","0.014957380254014739","13","Agriculture"
"Other vegetable materials","15479726","0.005527129913059253","14","Agriculture"
"Animal or vegetable fats, oils or waxes","188252897","0.06721683692778299","15","Agriculture"
"Preparations of meat or fish","2196137789","0.7841442973074401","16","Agriculture"
"Sugar and candy","156216298","0.05577797524214436","17","Agriculture"
"Cocoa","22231379","0.007937848504518575","18","Agriculture"
"Preparations of cereals, flour, starch or milk","525861231","0.1877619371284906","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","515982097","0.1842345325060496","20","Agriculture"
"Miscellaneous edible preparations","622814144","0.22237956185909186","21","Agriculture"
"Beverages","246027169","0.08784549062465215","22","Agriculture"
"Food residues and animal feed","649267959","0.231825056708357","23","Agriculture"
"Tobacco","189873560","0.0677955044666198","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1798174927","0.6420492473791098","25","Minerals"
"Ores, slag and ash","325680899","0.11628633730176678","26","Minerals"
"Mineral fuels, oils and waxes","3738708553","1.3349285303562075","27","Minerals"
"Inorganic chemicals","1325501029","0.47327816959917246","28","Chemicals"
"Organic chemicals","514005413","0.1835287455131102","29","Chemicals"
"Pharmaceutical products","159674098","0.05701260367247809","30","Chemicals"
"Fertilisers","285864380","0.10206960806516453","31","Chemicals"
"Dyes, paints, inks, etc.","135190438","0.04827056459716292","32","Chemicals"
"Essential oils","308360505","0.110101985732277","33","Chemicals"
"Soaps, waxes, and paints","487976508","0.17423496735258737","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","128144033","0.045754603019094266","35","Chemicals"
"Explosives","3716313","0.001326932062530756","36","Chemicals"
"Photographic or cinematographic goods","29764397","0.010627558201151046","37","Chemicals"
"Miscellaneous chemical products","719038378","0.25673700733988486","38","Chemicals"
"Plastics","3952751849","1.411353985432828","39","Chemicals"
"Rubber","3636097730","1.298290714595972","40","Chemicals"
"Leather and skins","485753522","0.1734412367389504","41","Agriculture"
"Articles of leather","3534193272","1.2619051107367119","42","Agriculture"
"Furskins","143788662","0.05134061254695117","43","Agriculture"
"Wood","3124009557","1.1154465312356099","44","Agriculture"
"Cork","978750","0.0003494686147808265","45","Agriculture"
"Manufactues of plaiting materials","216491476","0.07729959257172571","46","Agriculture"
"Pulp of wood","47363696","0.01691149448993121","47","Agriculture"
"Paper and paperboard","1032517546","0.3686666426947824","48","Agriculture"
"Products of the printing industry","57721804","0.020609919679724514","49","Agriculture"
"Silk","98725859","0.035250665836809386","50","Textiles"
"Wool","9066338","0.0032371908883726884","51","Textiles"
"Cotton","2863687372","1.0224969185779669","52","Textiles"
"Other vegetable textile fibres","43179646","0.015417554098949123","53","Textiles"
"Man-made filaments","1103184992","0.39389888224902897","54","Textiles"
"Man-made staple fibres","606084098","0.21640599761813198","55","Textiles"
"Wadding, felt and nonwovens","331506920","0.11836655338202631","56","Textiles"
"Carpets","64314246","0.022963791019456763","57","Textiles"
"Special woven fabrics","112153729","0.040045168139089864","58","Textiles"
"Impregnated, coated or laminated textile fabrics","544807885","0.1945269546795625","59","Textiles"
"Knitted fabrics","917077696","0.3274481451519917","60","Textiles"
"Apparel, knit","12352776200","4.410633550254469","61","Textiles"
"Apparel, not knit","13400290991","4.78465505009937","62","Textiles"
"Other made up textile articles","1376528753","0.49149792747574805","63","Textiles"
"Footwear","18962898868","6.7708178795697185","64","Textiles"
"Headgear","395346853","0.14116098807240768","65","Textiles"
"Umbrellas and walking-sticks","21945989","0.007835948276705241","66","Textiles"
"Feathers and down","54175049","0.019343529327931954","67","Textiles"
"Articles of stone, plaster, cement, etc.","411880085","0.1470642786827679","68","Stone"
"Ceramic products","564814766","0.2016705327016875","69","Stone"
"Glass and glassware","1007506627","0.35973634260045245","70","Stone"
"Precious metals and stones","564777272","0.20165714524192496","71","Stone"
"Iron and steel","4320555768","1.5426806021213484","72","Metals"
"Articles of iron or steel","2843572527","1.0153147913558151","73","Metals"
"Copper","947935227","0.3384660134678297","74","Metals"
"Nickel","3395426","0.0012123574158986487","75","Metals"
"Aluminium","963193281","0.3439139940508499","76","Metals"
"Lead","159343733","0.0568946448485475","78","Metals"
"Zinc","28566817","0.010199955009642263","79","Metals"
"Tin","15353619","0.005482102645009019","80","Metals"
"Other base metals","77471313","0.027661601470612345","81","Metals"
"Metal tools and tableware","620285541","0.2214767088447975","82","Metals"
"Miscellaneous articles of base metal","390835339","0.1395501246771134","83","Metals"
"Industrial Machinery","14254085974","5.0895077193364875","84","Machinery"
"Electrical machinery and equipment","102302235393","36.52763268635887","85","Electronics"
"Trains","6818032","0.0024344196153985673","86","Vehicles"
"Vehicles","2632193467","0.9398406178775285","87","Vehicles"
"Aircraft","305983972","0.10925343023241399","88","Vehicles"
"Ships","922082241","0.32923504825161704","89","Vehicles"
