"Name","Gross Import","Share","Code","Sector"
"Live animals","245334682","0.08969853351818632","01","Agriculture"
"Meat","3063981091","1.1202436131315205","02","Agriculture"
"Fish","3785384452","1.3840009548545744","03","Agriculture"
"Diary products","627327705","0.22936168141864835","04","Agriculture"
"Animal products","717643341","0.26238261444336564","05","Agriculture"
"Plants","123293900","0.04507834738888614","06","Agriculture"
"Vegetables","2661116909","0.9729496144281341","07","Agriculture"
"Fruits and nuts","4540823174","1.6602022035889576","08","Agriculture"
"Coffee, tea and spices","863692111","0.31578052942358387","09","Agriculture"
"Cereals","2742150514","1.0025768790078398","10","Agriculture"
"Flours, starches and malts","277274923","0.10137642901409281","11","Agriculture"
"Oil seeds and oleaginous fruits","1308703083","0.4784841115771364","12","Agriculture"
"Lac and other vegetable extracts","86999664","0.03180855724823671","13","Agriculture"
"Other vegetable materials","5633934","0.002059862118223666","14","Agriculture"
"Animal or vegetable fats, oils or waxes","773238636","0.28270920011546785","15","Agriculture"
"Preparations of meat or fish","352426625","0.1288531697905793","16","Agriculture"
"Sugar and candy","356541120","0.13035749916080636","17","Agriculture"
"Cocoa","87483814","0.031985570724883394","18","Agriculture"
"Preparations of cereals, flour, starch or milk","650108702","0.23769080148566848","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","329770149","0.12056957671958421","20","Agriculture"
"Miscellaneous edible preparations","827803565","0.30265906644877316","21","Agriculture"
"Beverages","2011115193","0.7352979288441748","22","Agriculture"
"Food residues and animal feed","3397078035","1.2420295227005127","23","Agriculture"
"Tobacco","1228452028","0.4491429605906349","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","353396787","0.12920787752275015","25","Minerals"
"Ores, slag and ash","772645896","0.28249248428742374","26","Minerals"
"Mineral fuels, oils and waxes","13799713088","5.045409873869046","27","Minerals"
"Inorganic chemicals","1579713785","0.5775702348229896","28","Chemicals"
"Organic chemicals","3985040760","1.456998697730795","29","Chemicals"
"Pharmaceutical products","2127215192","0.7777460636405543","30","Chemicals"
"Fertilisers","1104439734","0.40380195613360437","31","Chemicals"
"Dyes, paints, inks, etc.","1531562066","0.5599651471710131","32","Chemicals"
"Essential oils","979229234","0.35802286717838333","33","Chemicals"
"Soaps, waxes, and paints","728124860","0.26621483610757785","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","661609363","0.2418956388033283","35","Chemicals"
"Explosives","8596225","0.0031429261040735006","36","Chemicals"
"Photographic or cinematographic goods","185855008","0.06795175280032681","37","Chemicals"
"Miscellaneous chemical products","2730081488","0.9981642377768178","38","Chemicals"
"Plastics","13835465895","5.058481708356184","39","Chemicals"
"Rubber","2077387041","0.7595280439289231","40","Chemicals"
"Leather and skins","1524386264","0.5573415518808174","41","Agriculture"
"Articles of leather","555839800","0.20322448715604743","42","Agriculture"
"Furskins","323658607","0.11833509299121026","43","Agriculture"
"Wood","1776546775","0.6495357246064514","44","Agriculture"
"Cork","1600337","0.0005851104330813437","45","Agriculture"
"Manufactues of plaiting materials","48578577","0.017761154198737767","46","Agriculture"
"Pulp of wood","559049507","0.20439801064068486","47","Agriculture"
"Paper and paperboard","2714491004","0.9924640915918657","48","Agriculture"
"Products of the printing industry","131004577","0.047897502078692325","49","Agriculture"
"Silk","112016419","0.040955108476096756","50","Textiles"
"Wool","376504070","0.13765629330234105","51","Textiles"
"Cotton","5046265301","1.8450004441011283","52","Textiles"
"Other vegetable textile fibres","150699454","0.055098284170810294","53","Textiles"
"Man-made filaments","3919784165","1.433139776414932","54","Textiles"
"Man-made staple fibres","2831454083","1.0352277831194736","55","Textiles"
"Wadding, felt and nonwovens","825520360","0.30182428785753673","56","Textiles"
"Carpets","117081459","0.042806973269558596","57","Textiles"
"Special woven fabrics","940476702","0.3438542821981457","58","Textiles"
"Impregnated, coated or laminated textile fabrics","1607925569","0.5878849430089763","59","Textiles"
"Knitted fabrics","6051352704","2.212477497780405","60","Textiles"
"Apparel, knit","1663454005","0.6081870838932335","61","Textiles"
"Apparel, not knit","3006771902","1.0993269603564972","62","Textiles"
"Other made up textile articles","445367695","0.16283400615113555","63","Textiles"
"Footwear","1827636077","0.6682148425791306","64","Textiles"
"Headgear","61785614","0.022589871611877206","65","Textiles"
"Umbrellas and walking-sticks","30855718","0.011281375436558558","66","Textiles"
"Feathers and down","59508856","0.02175745015352099","67","Textiles"
"Articles of stone, plaster, cement, etc.","941211898","0.34412308236333566","68","Stone"
"Ceramic products","1175299014","0.4297093144016643","69","Stone"
"Glass and glassware","1159815181","0.4240481616367222","70","Stone"
"Precious metals and stones","640701490","0.23425136473740354","71","Stone"
"Iron and steel","11403081320","4.169160526568454","72","Metals"
"Articles of iron or steel","3100860876","1.1337274899482763","73","Metals"
"Copper","2537522628","0.9277614426353883","74","Metals"
"Nickel","40479400","0.014799957299539375","75","Metals"
"Aluminium","3224038836","1.1787634477007225","76","Metals"
"Lead","465210636","0.17008892296060601","78","Metals"
"Zinc","556743959","0.20355506306853613","79","Metals"
"Tin","28969704","0.01059181663217081","80","Metals"
"Other base metals","55718166","0.020371509400056487","81","Metals"
"Metal tools and tableware","840037899","0.3071321470969128","82","Metals"
"Miscellaneous articles of base metal","1080733945","0.3951347163782748","83","Metals"
"Industrial Machinery","23171555597","8.471914934497612","84","Machinery"
"Electrical machinery and equipment","63912972548","23.36767008891022","85","Electronics"
"Trains","56569494","0.02068276940015289","86","Vehicles"
"Vehicles","6316620391","2.3094638770386844","87","Vehicles"
"Aircraft","2084087738","0.7619779327483511","88","Vehicles"
"Ships","180491311","0.06599069392673512","89","Vehicles"
"Apparatuses (optical, medical, etc.)","9464017897","3.460205950623686","90","Machinery"
"Clocks","220325537","0.0805547646357921","91","Machinery"
"Musical instruments","50387257","0.018422438377073684","92","Machinery"
"Arms and ammunition","8193878","0.002995821195907921","93","Machinery"
"Furniture","1663898920","0.6083497523863912","94","Textiles"
"Toys","577133951","0.21100999103036236","95","Machinery"
"Miscellaneous manufactured articles","794180141","0.2903657706127601","96","Machinery"
"Art","8855021","0.0032375463244644054","97","Textiles"
"Other","5037463552","1.8417823749261586","99","Other"
"Unspecified","18480001024","6.756602767102376","unspecified","Services"
