"Name","Gross Export","Share","Code","Sector"
"Live animals","514572","0.03668181041585001","01","Agriculture"
"Fish","115855038","8.258849178807045","03","Agriculture"
"Diary products","20853017","1.486529418997725","04","Agriculture"
"Animal products","13042","0.0009297127932408212","05","Agriculture"
"Plants","9853","0.0007023815482136031","06","Agriculture"
"Vegetables","26116954","1.8617747472996504","07","Agriculture"
"Fruits and nuts","68031853","4.849722748196514","08","Agriculture"
"Coffee, tea and spices","27915736","1.9900028287021432","09","Agriculture"
"Cereals","7952717","0.5669178604450056","10","Agriculture"
"Flours, starches and malts","734581","0.052365385168811195","11","Agriculture"
"Oil seeds and oleaginous fruits","1970648","0.1404797313735959","12","Agriculture"
"Lac and other vegetable extracts","98228","0.007002287092045651","13","Agriculture"
"Other vegetable materials","2905173","0.20709833650343631","14","Agriculture"
"Animal or vegetable fats, oils or waxes","6268432","0.4468518190431028","15","Agriculture"
"Preparations of meat or fish","19765747","1.409022224648166","16","Agriculture"
"Sugar and candy","642683","0.04581433883594469","17","Agriculture"
"Cocoa","1264","0.000090105579716025","18","Agriculture"
"Preparations of cereals, flour, starch or milk","453211","0.03230762649420839","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","978075","0.06972311303856894","20","Agriculture"
"Miscellaneous edible preparations","43370","0.003091676417946206","21","Agriculture"
"Beverages","42823","0.0030526829431798564","22","Agriculture"
"Food residues and animal feed","10446907","0.7447188381917718","23","Agriculture"
"Tobacco","208106","0.014835056781948653","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","159644","0.011380391746981878","25","Minerals"
"Ores, slag and ash","1184603","0.08444568041799237","26","Minerals"
"Mineral fuels, oils and waxes","755574687","53.86194239785532","27","Minerals"
"Fertilisers","153312","0.01092900841568293","31","Chemicals"
"Dyes, paints, inks, etc.","182613","0.013017761256869044","32","Chemicals"
"Essential oils","212659","0.015159622212682088","33","Chemicals"
"Soaps, waxes, and paints","84366","0.006014119729685257","34","Chemicals"
"Miscellaneous chemical products","22647769","1.614470217578813","38","Chemicals"
"Plastics","4904248","0.34960451670186404","39","Chemicals"
"Leather and skins","10546576","0.7518238484961361","41","Agriculture"
"Articles of leather","34524","0.002461079932053835","42","Agriculture"
"Wood","67797","0.004832981003170369","44","Agriculture"
"Manufactues of plaiting materials","89799","0.006401416893132381","46","Agriculture"
"Pulp of wood","340865","0.024298922808467453","47","Agriculture"
"Paper and paperboard","111800","0.007969781497034489","48","Agriculture"
"Products of the printing industry","103804","0.0073997781620587484","49","Agriculture"
"Cotton","1622","0.00011562598916091182","52","Textiles"
"Man-made filaments","14643","0.0010438417751437927","54","Textiles"
"Wadding, felt and nonwovens","25358","0.0018076719069928496","56","Textiles"
"Special woven fabrics","8089","0.0005766329385466188","58","Textiles"
"Apparel, knit","33857","0.0024135321300992546","61","Textiles"
"Apparel, not knit","143288","0.010214436951226098","62","Textiles"
"Other made up textile articles","2097","0.0001494868676143231","63","Textiles"
"Footwear","2005","0.00014292855010334662","64","Textiles"
"Headgear","1128","0.00008041067556936408","65","Textiles"
"Articles of stone, plaster, cement, etc.","324913","0.023161767580912047","68","Stone"
"Ceramic products","460024","0.03279329842032016","69","Stone"
"Glass and glassware","3851","0.00027452261668228816","70","Stone"
"Precious metals and stones","225745100","16.092478721164582","71","Stone"
"Iron and steel","8195996","0.5842602618118845","72","Metals"
"Articles of iron or steel","1030909","0.0734894407274269","73","Metals"
"Copper","25808794","1.839807235080275","74","Metals"
"Nickel","1607","0.00011455669826238305","75","Metals"
"Aluminium","12684130","0.9042016509837216","76","Metals"
"Lead","16020792","1.1420591381881768","78","Metals"
"Zinc","210011","0.014970856726061809","79","Metals"
"Tin","1696","0.00012090115759365378","80","Metals"
"Metal tools and tableware","27392","0.0019526677528333518","82","Metals"
"Miscellaneous articles of base metal","1682","0.00011990315275502692","83","Metals"
"Industrial Machinery","253200","0.018049630367165767","84","Machinery"
"Electrical machinery and equipment","300554","0.021425310447761216","85","Electronics"
"Vehicles","422872","0.030144878722844087","87","Vehicles"
"Ships","1476507","0.105254366447602","89","Vehicles"
"Apparatuses (optical, medical, etc.)","54834","0.003908899808661799","90","Machinery"
"Arms and ammunition","2645","0.00018855162844057447","93","Machinery"
"Furniture","28152","0.0020068451583588097","94","Textiles"
"Miscellaneous manufactured articles","25451","0.001814301510563728","96","Machinery"
"Art","832586","0.05935177546949873","97","Textiles"
"Other","431929","0.03079051656737576","99","Other"
