"Name","Gross Import","Share","Code","Sector"
"Live animals","13346276","0.15310066022110486","01","Agriculture"
"Meat","129992672","1.4911997854012258","02","Agriculture"
"Fish","2119718","0.024316163196577076","03","Agriculture"
"Diary products","214627994","2.4620866212665864","04","Agriculture"
"Animal products","125875","0.0014439642642885232","05","Agriculture"
"Plants","495576","0.005684957570915981","06","Agriculture"
"Vegetables","79091178","0.9072876635748371","07","Agriculture"
"Fruits and nuts","117681854","1.349977292800154","08","Agriculture"
"Coffee, tea and spices","99792170","1.1447573174641925","09","Agriculture"
"Cereals","1105152141","12.677657979789087","10","Agriculture"
"Flours, starches and malts","156177777","1.7915799711143754","11","Agriculture"
"Oil seeds and oleaginous fruits","20265420","0.23247302705698447","12","Agriculture"
"Lac and other vegetable extracts","1023158","0.011737069225190997","13","Agriculture"
"Other vegetable materials","603616","0.006924329162683465","14","Agriculture"
"Animal or vegetable fats, oils or waxes","256815114","2.946032549316252","15","Agriculture"
"Preparations of meat or fish","47978484","0.5503810633623729","16","Agriculture"
"Sugar and candy","264820355","3.037863984716588","17","Agriculture"
"Cocoa","27558905","0.31613961456144823","18","Agriculture"
"Preparations of cereals, flour, starch or milk","172366558","1.9772881835981335","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","130646075","1.4986952418634216","20","Agriculture"
"Miscellaneous edible preparations","97034228","1.113119822401786","21","Agriculture"
"Beverages","57466543","0.6592225182458772","22","Agriculture"
"Food residues and animal feed","135087435","1.549643922100486","23","Agriculture"
"Tobacco","37673395","0.4321671189229468","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","171286237","1.9648953739221815","25","Minerals"
"Ores, slag and ash","701999","0.008052921307378582","26","Minerals"
"Mineral fuels, oils and waxes","478082212","5.484279082582004","27","Minerals"
"Inorganic chemicals","17475453","0.20046815995434886","28","Chemicals"
"Organic chemicals","35867579","0.4114518555912253","29","Chemicals"
"Pharmaceutical products","292631611","3.3568984221265565","30","Chemicals"
"Fertilisers","6589211","0.07558756872974653","31","Chemicals"
