"Name","Gross Export","Share","Code","Sector"
"Live animals","4815046","0.05176488880585233","01","Agriculture"
"Meat","2529014","0.02718855198858823","02","Agriculture"
"Fish","2770491","0.02978458742712211","03","Agriculture"
"Diary products","13955522","0.15003097469009138","04","Agriculture"
"Animal products","117928","0.001267803008963269","05","Agriculture"
"Plants","10313309","0.11087480651387258","06","Agriculture"
"Vegetables","10797371","0.11607878911448292","07","Agriculture"
"Fruits and nuts","2322451","0.02496786484948234","08","Agriculture"
"Coffee, tea and spices","3944110","0.042401758070026795","09","Agriculture"
"Cereals","54040715","0.5809729757438986","10","Agriculture"
"Flours, starches and malts","2499682","0.02687321383429993","11","Agriculture"
"Oil seeds and oleaginous fruits","12127028","0.1303734701528205","12","Agriculture"
"Lac and other vegetable extracts","714038","0.007676374778798206","13","Agriculture"
"Other vegetable materials","7139088","0.07674985794428436","14","Agriculture"
"Animal or vegetable fats, oils or waxes","17754245","0.19086972756996706","15","Agriculture"
"Preparations of meat or fish","60232","0.0006475333325069163","16","Agriculture"
"Sugar and candy","119273872","1.2822720118402737","17","Agriculture"
"Cocoa","1544252","0.016601717422474276","18","Agriculture"
"Preparations of cereals, flour, starch or milk","34460929","0.3704774903150192","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","2900956","0.031187171372956797","20","Agriculture"
"Miscellaneous edible preparations","6799650","0.07310067778557333","21","Agriculture"
"Beverages","72707152","0.7816493629905515","22","Agriculture"
"Food residues and animal feed","68547359","0.7369288718259059","23","Agriculture"
"Tobacco","148906096","1.6008377701798846","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","185743349","1.996862295274359","25","Minerals"
"Ores, slag and ash","86801620","0.9331740979147132","26","Minerals"
"Mineral fuels, oils and waxes","80595895","0.8664585017221329","27","Minerals"
"Inorganic chemicals","195504574","2.1018018382681136","28","Chemicals"
"Organic chemicals","26884760","0.289028726199506","29","Chemicals"
"Pharmaceutical products","380018","0.004085441658132112","30","Chemicals"
"Fertilisers","21801481","0.23438015748300267","31","Chemicals"
"Dyes, paints, inks, etc.","2062097","0.022168889333950635","32","Chemicals"
"Essential oils","1478563","0.01589551777645477","33","Chemicals"
"Soaps, waxes, and paints","53025669","0.5700605684018243","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","635333","0.006830244633112243","35","Chemicals"
"Explosives","30557011","0.32850782249104293","36","Chemicals"
"Photographic or cinematographic goods","2644","0.000028424726576376126","37","Chemicals"
"Miscellaneous chemical products","24723504","0.2657938128630641","38","Chemicals"
"Plastics","17056685","0.18337050205157943","39","Chemicals"
"Rubber","9189095","0.09878877188326209","40","Chemicals"
"Leather and skins","4853704","0.05218048755017515","41","Agriculture"
"Articles of leather","723653","0.00777974230755458","42","Agriculture"
"Furskins","3886","0.00004177703762322149","43","Agriculture"
"Wood","52382176","0.5631425984400951","44","Agriculture"
"Manufactues of plaiting materials","4667","0.000050173297629329564","46","Agriculture"
"Pulp of wood","107281","0.001153340806293573","47","Agriculture"
"Paper and paperboard","3788002","0.04072349512888272","48","Agriculture"
"Products of the printing industry","58248096","0.6262050689843071","49","Agriculture"
"Wool","7174","0.00007712518474240631","51","Textiles"
"Cotton","30986988","0.33313035602324054","52","Textiles"
"Other vegetable textile fibres","570","0.000006127872219566714","53","Textiles"
"Man-made filaments","25007","0.00026884157999071016","54","Textiles"
"Man-made staple fibres","1464161","0.01574068687170705","55","Textiles"
"Wadding, felt and nonwovens","103387","0.001111477763446217","56","Textiles"
"Carpets","4470","0.00004805541898502317","57","Textiles"
"Special woven fabrics","7033","0.00007560934266703982","58","Textiles"
"Impregnated, coated or laminated textile fabrics","7232","0.00007774872261737977","59","Textiles"
"Apparel, knit","54651","0.0005875339380202464","61","Textiles"
"Apparel, not knit","199147","0.002140960296333425","62","Textiles"
"Other made up textile articles","4749887","0.05106438700593172","63","Textiles"
"Footwear","741279","0.007969233317628409","64","Textiles"
"Headgear","50898","0.0005471867372482572","65","Textiles"
"Feathers and down","1069997","0.011503166475999516","67","Textiles"
"Articles of stone, plaster, cement, etc.","73703343","0.7923590667699943","68","Stone"
"Ceramic products","1758667","0.018906818689067954","69","Stone"
"Glass and glassware","426617","0.004586411338061215","70","Stone"
"Precious metals and stones","223361504","2.401282026810946","71","Stone"
"Iron and steel","81209161","0.8730515116951238","72","Metals"
"Articles of iron or steel","20508450","0.22047922986205784","73","Metals"
"Copper","6033656563","64.86574813125276","74","Metals"
"Aluminium","4733124","0.05088417380941137","76","Metals"
"Lead","14406182","0.15487586397863518","78","Metals"
"Zinc","531471","0.005713660309483054","79","Metals"
"Tin","208419","0.0022406403511050434","80","Metals"
"Other base metals","194396303","2.08988720129855","81","Metals"
"Metal tools and tableware","4712071","0.05065784031144903","82","Metals"
"Miscellaneous articles of base metal","1559295","0.016763439495805752","83","Metals"
"Industrial Machinery","109981354","1.1823713751700569","84","Machinery"
"Electrical machinery and equipment","37952006","0.40800884779689334","85","Electronics"
"Trains","263151","0.0028290450920196494","86","Vehicles"
"Vehicles","27975506","0.3007549579749507","87","Vehicles"
"Aircraft","3592673","0.038623580825767376","88","Vehicles"
"Ships","91872","0.0009876839939579529","89","Vehicles"
"Apparatuses (optical, medical, etc.)","2101080","0.022587982040503912","90","Machinery"
"Clocks","11422","0.00012279395875770352","91","Machinery"
"Musical instruments","33872","0.00036414611898449774","92","Machinery"
"Arms and ammunition","93","9.998107305608848e-7","93","Machinery"
"Furniture","2906420","0.031245912941040503","94","Textiles"
"Toys","213719","0.0022976188120939975","95","Machinery"
"Miscellaneous manufactured articles","316168","0.003399012463010472","96","Machinery"
"Art","362116","0.003892983467825649","97","Textiles"
"Other","10457381","0.11242367459530662","99","Other"
"Travel and tourism","771373888","8.292773016095378","travel","Services"
"Transport","55889900","0.6008529220427398","transport","Services"
"ICT","37045856","0.3982671435657348","ict","Services"
"Insurance and finance","88954712","0.9563212429199259","financial","Services"
