"Name","Gross Import","Share","Code","Sector"
"Live animals","4698303","0.05258604901185579","01","Agriculture"
"Meat","7629259","0.08539095662798714","02","Agriculture"
"Fish","85572058","0.9577705899413823","03","Agriculture"
"Diary products","24082666","0.26954673945297974","04","Agriculture"
"Animal products","5041622","0.05642866830667379","05","Agriculture"
"Plants","1594968","0.017851778699743633","06","Agriculture"
"Vegetables","10448079","0.11694077507852117","07","Agriculture"
"Fruits and nuts","13163298","0.14733103288265215","08","Agriculture"
"Coffee, tea and spices","12463204","0.13949518717476442","09","Agriculture"
"Cereals","19571772","0.21905827734841002","10","Agriculture"
"Flours, starches and malts","11144873","0.12473968533083292","11","Agriculture"
"Oil seeds and oleaginous fruits","6547821","0.0732868944439851","12","Agriculture"
"Lac and other vegetable extracts","1173724","0.013136978988028533","13","Agriculture"
"Other vegetable materials","17619","0.0001972017550889943","14","Agriculture"
"Animal or vegetable fats, oils or waxes","47898593","0.5361079860317508","15","Agriculture"
"Preparations of meat or fish","22800787","0.2551992288898533","16","Agriculture"
"Sugar and candy","13656259","0.1528485295845323","17","Agriculture"
"Cocoa","8511756","0.0952683592763084","18","Agriculture"
"Preparations of cereals, flour, starch or milk","36839485","0.4123282308062137","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","28124034","0.3147800025530705","20","Agriculture"
"Miscellaneous edible preparations","40728175","0.4558526358801124","21","Agriculture"
"Beverages","76148139","0.8522927894636866","22","Agriculture"
"Food residues and animal feed","24663920","0.27605246105763936","23","Agriculture"
"Tobacco","8014329","0.08970087659121542","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","115815690","1.2962743251514208","25","Minerals"
"Ores, slag and ash","1056914021","11.829576021304625","26","Minerals"
"Mineral fuels, oils and waxes","604659553","6.767689714678856","27","Minerals"
"Inorganic chemicals","139870541","1.565509743484144","28","Chemicals"
"Organic chemicals","65898286","0.7375706712388048","29","Chemicals"
"Pharmaceutical products","203969304","2.282939141442796","30","Chemicals"
"Fertilisers","227165726","2.5425665397165327","31","Chemicals"
