"Name","Gross Export","Share","Code","Sector"
"Live animals","864518","0.03940370962819056","01","Agriculture"
"Meat","834986","0.03805767593919886","02","Agriculture"
"Fish","14741548","0.6719023512084574","03","Agriculture"
"Diary products","186903","0.008518818047325445","04","Agriculture"
"Animal products","251386","0.01145787704662287","05","Agriculture"
"Plants","9319114","0.4247542122292484","06","Agriculture"
"Vegetables","22981434","1.0474666255363403","07","Agriculture"
"Fruits and nuts","58961263","2.68738474683393","08","Agriculture"
"Coffee, tea and spices","29345666","1.337540805292503","09","Agriculture"
"Cereals","1903812","0.08677350296311322","10","Agriculture"
"Flours, starches and malts","559629","0.025507229017226535","11","Agriculture"
"Oil seeds and oleaginous fruits","4520154","0.20602328197990563","12","Agriculture"
"Lac and other vegetable extracts","20154","0.0009185955224142845","13","Agriculture"
"Animal or vegetable fats, oils or waxes","802663","0.036584431765784305","15","Agriculture"
"Preparations of meat or fish","20721","0.0009444387129079285","16","Agriculture"
"Sugar and candy","27030703","1.2320275252312378","17","Agriculture"
"Cocoa","112542","0.00512953147184422","18","Agriculture"
"Preparations of cereals, flour, starch or milk","3687686","0.16808037350748453","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","6384708","0.29100745165836367","20","Agriculture"
"Miscellaneous edible preparations","1087272","0.049556573923113224","21","Agriculture"
"Beverages","1522689","0.06940236664828245","22","Agriculture"
"Food residues and animal feed","4980852","0.227021352833593","23","Agriculture"
"Tobacco","857788881","39.0970043298283","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","71440719","3.256183615731721","25","Minerals"
"Ores, slag and ash","225273438","10.26769730404247","26","Minerals"
"Mineral fuels, oils and waxes","26704030","1.2171381556225427","27","Minerals"
"Inorganic chemicals","361827","0.01649164741930105","28","Chemicals"
"Organic chemicals","29345","0.0013375104497989074","29","Chemicals"
"Pharmaceutical products","2901241","0.13223513903169304","30","Chemicals"
"Fertilisers","1123011","0.05118551534295863","31","Chemicals"
"Dyes, paints, inks, etc.","2570138","0.1171438552538853","32","Chemicals"
"Essential oils","2158322","0.0983737682409568","33","Chemicals"
"Soaps, waxes, and paints","445203","0.020291827049985448","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","55605","0.002534410242326401","35","Chemicals"
"Explosives","105758","0.004820324762304749","36","Chemicals"
"Miscellaneous chemical products","1283964","0.058521563031712534","38","Chemicals"
"Plastics","4418721","0.2014000856106961","39","Chemicals"
"Rubber","162732","0.00741713240813344","40","Chemicals"
"Leather and skins","40554006","1.848403707827827","41","Agriculture"
"Articles of leather","2000488","0.09117988088932755","42","Agriculture"
"Furskins","79599","0.003628028430517745","43","Agriculture"
"Wood","11200762","0.5105175062433297","44","Agriculture"
"Cork","16288","0.0007423878073376931","45","Agriculture"
"Manufactues of plaiting materials","77675","0.0035403347823523643","46","Agriculture"
"Pulp of wood","1542327","0.07029744349998295","47","Agriculture"
"Paper and paperboard","5299207","0.2415315978240763","48","Agriculture"
"Products of the printing industry","40280215","1.835924637336742","49","Agriculture"
"Cotton","26733286","1.2184716095574317","52","Textiles"
"Other vegetable textile fibres","65477","0.0029843643455949244","53","Textiles"
"Man-made filaments","148447","0.006766038975678937","54","Textiles"
"Man-made staple fibres","447946","0.020416849751086093","55","Textiles"
"Wadding, felt and nonwovens","1454947","0.06631476627717059","56","Textiles"
"Carpets","1036","0.00004721965670443578","57","Textiles"
"Special woven fabrics","31546","0.0014378294308862271","58","Textiles"
"Knitted fabrics","56171","0.0025602078540008324","60","Textiles"
"Apparel, knit","645209","0.029407864365455894","61","Textiles"
"Apparel, not knit","15314145","0.6980006463532352","62","Textiles"
"Other made up textile articles","682031","0.03108616764650873","63","Textiles"
"Footwear","905781","0.041284428445367324","64","Textiles"
"Headgear","19721","0.0008988598936951526","65","Textiles"
"Feathers and down","842995","0.03842271670227398","67","Textiles"
"Articles of stone, plaster, cement, etc.","5605117","0.2554746144094565","68","Stone"
"Ceramic products","416669","0.018991281022568102","69","Stone"
"Glass and glassware","588073","0.026803672950914736","70","Stone"
"Precious metals and stones","244121742","11.12678074452591","71","Stone"
"Iron and steel","255802056","11.659155664680366","72","Metals"
"Articles of iron or steel","9355592","0.426416836396492","73","Metals"
"Copper","5140435","0.23429495754002544","74","Metals"
"Nickel","5962758","0.2717754688915329","75","Metals"
"Aluminium","1081471","0.04929217119285991","76","Metals"
"Lead","99039","0.004514080676014108","78","Metals"
"Metal tools and tableware","62701","0.002857837543460259","82","Metals"
"Miscellaneous articles of base metal","472875","0.02155308413524138","83","Metals"
"Industrial Machinery","10393538","0.4737251894831159","84","Machinery"
"Electrical machinery and equipment","7937071","0.36176232418796606","85","Electronics"
"Trains","47885","0.0021825417580037714","86","Vehicles"
"Vehicles","2152294","0.09809901911874219","87","Vehicles"
"Aircraft","88728","0.004044117471111176","88","Vehicles"
"Ships","96824","0.004413123591457809","89","Vehicles"
"Apparatuses (optical, medical, etc.)","325559","0.014838594804092095","90","Machinery"
"Clocks","58561","0.0026691412319193664","91","Machinery"
"Musical instruments","7853","0.00035793046727792876","92","Machinery"
"Arms and ammunition","6025","0.0002746123857569745","93","Machinery"
"Furniture","1869525","0.08521074198876477","94","Textiles"
"Toys","873932","0.03983278863225963","95","Machinery"
"Miscellaneous manufactured articles","75958","0.003462075949764028","96","Machinery"
"Art","2690730","0.12264029622039237","97","Textiles"
"Other","103325896","4.70947233378208","99","Other"
