"Name","Gross Import","Share","Code","Sector"
"Live animals","8112569","0.19840665445402025","01","Agriculture"
"Meat","3918548","0.09583474716794298","02","Agriculture"
"Fish","10464013","0.25591521150616725","03","Agriculture"
"Diary products","28885273","0.7064384141350342","04","Agriculture"
"Animal products","2701792","0.06607691247379668","05","Agriculture"
"Plants","3033486","0.07418905264079824","06","Agriculture"
"Vegetables","7452624","0.1822665785331056","07","Agriculture"
"Fruits and nuts","7819449","0.19123790697667215","08","Agriculture"
"Coffee, tea and spices","5048117","0.12346027568609465","09","Agriculture"
"Cereals","51812873","1.2671718156826814","10","Agriculture"
"Flours, starches and malts","9051867","0.22137878248342158","11","Agriculture"
"Oil seeds and oleaginous fruits","10363832","0.25346511498928603","12","Agriculture"
"Lac and other vegetable extracts","2199022","0.05378081814660541","13","Agriculture"
"Other vegetable materials","56390","0.0013791132309213272","14","Agriculture"
"Animal or vegetable fats, oils or waxes","60431876","1.4779641738073597","15","Agriculture"
"Preparations of meat or fish","3502935","0.08567022531579002","16","Agriculture"
"Sugar and candy","12524419","0.3063059399273356","17","Agriculture"
"Cocoa","5510226","0.1347619361937702","18","Agriculture"
"Preparations of cereals, flour, starch or milk","27833342","0.6807116547784762","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","19238640","0.4705136188851265","20","Agriculture"
"Miscellaneous edible preparations","45487294","1.1124690369606012","21","Agriculture"
"Beverages","50198128","1.2276804839915294","22","Agriculture"
"Food residues and animal feed","57126510","1.3971258339662973","23","Agriculture"
"Tobacco","20672975","0.505592717591875","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","20249395","0.4952333492224183","25","Minerals"
"Ores, slag and ash","1511940","0.03697706079729015","26","Minerals"
"Mineral fuels, oils and waxes","303763087","7.429042247689417","27","Minerals"
"Inorganic chemicals","62115963","1.5191513818889808","28","Chemicals"
"Organic chemicals","36606233","0.8952676053287624","29","Chemicals"
"Pharmaceutical products","189647089","4.638141685504779","30","Chemicals"
"Fertilisers","109744395","2.6839855854576404","31","Chemicals"
"Dyes, paints, inks, etc.","28041039","0.6857912376960621","32","Chemicals"
"Essential oils","64305507","1.5727003994467816","33","Chemicals"
"Soaps, waxes, and paints","85894125","2.100686721863989","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","8652920","0.21162185596921035","35","Chemicals"
"Explosives","32537310","0.7957551821171983","36","Chemicals"
"Photographic or cinematographic goods","5556253","0.1358876046576754","37","Chemicals"
"Miscellaneous chemical products","136405114","3.3360187530188323","38","Chemicals"
"Plastics","246194369","6.021101465973177","39","Chemicals"
"Rubber","79611810","1.9470420377477358","40","Chemicals"
"Leather and skins","1225865","0.029980610761187673","41","Agriculture"
"Articles of leather","2667511","0.06523851239099451","42","Agriculture"
"Furskins","1633","0.00003993778872308082","43","Agriculture"
"Wood","23165710","0.5665567860380651","44","Agriculture"
"Cork","10003","0.0002446403555400964","45","Agriculture"
"Manufactues of plaiting materials","91496","0.002237690090022659","46","Agriculture"
"Pulp of wood","941098","0.02301615008678133","47","Agriculture"
"Paper and paperboard","132099870","3.2307266983505465","48","Agriculture"
"Products of the printing industry","24789108","0.6062597415417222","49","Agriculture"
"Silk","57736","0.0014120319471621519","50","Textiles"
"Wool","63831","0.0015610955247905521","51","Textiles"
"Cotton","6841090","0.1673104758454262","52","Textiles"
"Other vegetable textile fibres","1933640","0.047290450573483155","53","Textiles"
"Man-made filaments","17831929","0.4361101120189699","54","Textiles"
"Man-made staple fibres","20305887","0.4966149570365912","55","Textiles"
"Wadding, felt and nonwovens","2949608","0.07213767368028717","56","Textiles"
"Carpets","1623551","0.03970669737853434","57","Textiles"
"Special woven fabrics","2360864","0.057738939152435685","58","Textiles"
"Impregnated, coated or laminated textile fabrics","6306401","0.15423374815739474","59","Textiles"
"Knitted fabrics","4173050","0.10205902586090167","60","Textiles"
"Apparel, knit","6746207","0.1649899509174335","61","Textiles"
"Apparel, not knit","6588293","0.16112789582348577","62","Textiles"
"Other made up textile articles","27491301","0.6723464611516352","63","Textiles"
"Footwear","13328565","0.325972696235058","64","Textiles"
"Headgear","2114384","0.05171085209520056","65","Textiles"
"Umbrellas and walking-sticks","1160107","0.02837238717830197","66","Textiles"
"Feathers and down","3004384","0.07347731379975778","67","Textiles"
"Articles of stone, plaster, cement, etc.","13501320","0.33019771319210384","68","Stone"
"Ceramic products","38186486","0.9339153765737191","69","Stone"
"Glass and glassware","30363591","0.742593191813863","70","Stone"
"Precious metals and stones","39384585","0.9632169226431219","71","Stone"
"Iron and steel","155082726","3.7928114792329652","72","Metals"
"Articles of iron or steel","118346899","2.894374432513034","73","Metals"
"Copper","10040425","0.2455556474831223","74","Metals"
"Nickel","37115","0.0009077103664771246","75","Metals"
"Aluminium","21953491","0.5369099113852152","76","Metals"
"Lead","275726","0.006743347662866002","78","Metals"
"Zinc","244362","0.005976287769717988","79","Metals"
"Tin","159778","0.003907642380034542","80","Metals"
"Other base metals","146276","0.003577428036287428","81","Metals"
"Metal tools and tableware","22748830","0.5563612775488564","82","Metals"
"Miscellaneous articles of base metal","17582759","0.4300162364426502","83","Metals"
"Industrial Machinery","612696902","14.984543431330161","84","Machinery"
"Electrical machinery and equipment","249436469","6.100392528324126","85","Electronics"
"Trains","6920652","0.16925629969501943","86","Vehicles"
"Vehicles","436964565","10.686710640810114","87","Vehicles"
"Aircraft","15302240","0.37424227073476807","88","Vehicles"
"Ships","886545","0.021681963811086148","89","Vehicles"
"Apparatuses (optical, medical, etc.)","59074925","1.4447776322607746","90","Machinery"
"Clocks","296419","0.0072494301258462296","91","Machinery"
"Musical instruments","1296986","0.03171999561836724","92","Machinery"
"Arms and ammunition","208274","0.00509369443264601","93","Machinery"
"Furniture","32114253","0.7854086046010804","94","Textiles"
"Toys","4749518","0.11615752995742153","95","Machinery"
"Miscellaneous manufactured articles","7205081","0.17621249400531774","96","Machinery"
"Art","260938","0.006381682004790731","97","Textiles"
"Other","19235322","0.470432471559356","99","Other"
